"Nível";"Cód.";"Brasil e Município";"Grupo de idade";"Católica Apostólica Romana";"Evangélicas";"Espírita";"Umbanda e Candomblé";"Tradições indígenas";"Outras religiosidades";"Sem religião";"Não sabe";"Sem declaração"
"MU";"3530805";"Mogi Mirim (SP)";"Total";"50336";"20409";"2112";"739";"-";"3655";"5029";"21";"116"
"MU";"3530904";"Mombuca (SP)";"Total";"1804";"1015";"-";"21";"-";"44";"252";"-";"-"
"MU";"3531001";"Monções (SP)";"Total";"1196";"358";"12";"-";"-";"20";"148";"-";"-"
"MU";"3531100";"Mongaguá (SP)";"Total";"22493";"13801";"2655";"4827";"214";"3033";"7313";"189";"35"
"MU";"3531209";"Monte Alegre do Sul (SP)";"Total";"5488";"1215";"184";"202";"-";"281";"358";"-";"6"
"MU";"3531308";"Monte Alto (SP)";"Total";"26883";"10754";"1417";"261";"-";"1116";"2246";"-";"8"
"MU";"3531407";"Monte Aprazível (SP)";"Total";"12915";"5135";"257";"222";"-";"671";"621";"-";"73"
"MU";"3531506";"Monte Azul Paulista (SP)";"Total";"9822";"4596";"378";"23";"-";"395";"1045";"-";"4"
"MU";"3531605";"Monte Castelo (SP)";"Total";"2315";"1170";"30";"-";"-";"35";"162";"-";"-"
"MU";"3531704";"Monteiro Lobato (SP)";"Total";"2488";"562";"39";"20";"7";"115";"390";"-";"-"
"MU";"3531803";"Monte Mor (SP)";"Total";"24134";"22130";"373";"349";"3";"3218";"5380";"20";"109"
"MU";"3531902";"Morro Agudo (SP)";"Total";"14837";"7591";"182";"38";"-";"830";"989";"-";"31"
"MU";"3532009";"Morungaba (SP)";"Total";"7690";"2831";"111";"86";"5";"369";"843";"35";"-"
"MU";"3532058";"Motuca (SP)";"Total";"1929";"1028";"58";"77";"-";"31";"425";"-";"-"
"MU";"3532108";"Murutinga do Sul (SP)";"Total";"2260";"698";"59";"28";"-";"75";"241";"-";"7"
"MU";"3532157";"Nantes (SP)";"Total";"1545";"699";"-";"-";"-";"20";"36";"-";"3"
"MU";"3532207";"Narandiba (SP)";"Total";"3372";"1212";"-";"15";"-";"109";"140";"-";"-"
"MU";"3532306";"Natividade da Serra (SP)";"Total";"3999";"1688";"16";"4";"-";"158";"307";"-";"-"
"MU";"3532405";"Nazaré Paulista (SP)";"Total";"9341";"4217";"219";"213";"-";"664";"1365";"-";"-"
"MU";"3532504";"Neves Paulista (SP)";"Total";"6015";"1614";"280";"112";"-";"264";"391";"-";"4"
"MU";"3532603";"Nhandeara (SP)";"Total";"6141";"1836";"412";"39";"-";"184";"311";"-";"-"
"MU";"3532702";"Nipoã (SP)";"Total";"2684";"1204";"47";"19";"-";"54";"70";"3";"-"
"MU";"3532801";"Nova Aliança (SP)";"Total";"3775";"1482";"88";"9";"-";"163";"370";"-";"5"
"MU";"3532827";"Nova Campina (SP)";"Total";"2372";"4067";"-";"14";"-";"324";"447";"-";"5"
"MU";"3532843";"Nova Canaã Paulista (SP)";"Total";"1372";"386";"7";"2";"-";"38";"61";"-";"3"
