uf;municipio;lat;long;population;catolica-apostolica-romana;evangelicas;espirita;umbanda-e-candomble;tradicoes-indigenas;outras-religiosidades;sem-religiao;nao-sabe;sem-declaracao
PR;Lupionópolis;-22.751994523;-51.6568728402;4247;66.306;27.408;0.188;0.0;0.0;1.813;4.285;0.0;0.0
PR;Mallet;-25.8737880845;-50.8275686221;11783;91.598;7.358;0.0;0.042;0.0;0.501;0.501;0.0;0.0
PR;Mamborê;-24.3218130807;-52.5290941575;11848;72.189;22.839;0.211;0.143;0.0;0.954;3.663;0.0;0.0
PR;Mandaguaçu;-23.3427891418;-52.0942530606;26918;58.522;32.268;0.282;0.037;0.03;3.08;5.695;0.0;0.085
PR;Mandaguari;-23.517452;-51.6812520884;32136;62.593;30.029;0.327;0.377;0.0;2.713;3.961;0.0;0.0
PR;Mandirituba;-25.7596206131;-49.322782597;23708;69.525;23.76;0.553;0.346;0.004;2.375;3.176;0.042;0.219
PR;Manfrinópolis;-26.1437768725;-53.3125829631;2414;87.034;11.64;0.0;0.0;0.0;0.456;0.87;0.0;0.0
PR;Mangueirinha;-25.9429813416;-52.1763258294;14181;72.632;23.419;0.085;0.423;0.0;1.707;1.692;0.0;0.042
PR;Manoel Ribas;-24.5217308774;-51.6690785951;12156;84.781;11.772;0.074;0.041;1.201;1.308;0.814;0.0;0.008
PR;Marechal Cândido Rondon;-24.559254495;-54.0600078165;48392;53.379;40.174;0.616;0.06;0.021;1.362;4.317;0.0;0.072
PR;Maria Helena;-23.6176096561;-53.2048192712;5176;73.841;22.044;0.193;0.116;0.0;1.546;2.26;0.0;0.0
PR;Marialva;-23.484758535;-51.7980569139;36316;69.418;24.491;0.799;0.292;0.0;1.9;3.07;0.03;0.0
PR;Marilândia do Sul;-23.7457790925;-51.3092905257;7515;74.172;20.053;0.053;0.186;0.0;1.623;3.766;0.0;0.146
PR;Marilena;-22.7318252451;-53.0371858842;6328;68.647;24.162;0.142;0.047;0.095;2.197;4.709;0.0;0.0
PR;Mariluz;-24.0037326298;-53.1515258189;8498;69.875;25.783;0.153;0.0;0.0;0.753;3.271;0.0;0.165
PR;Maringá;-23.42228;-51.9398818703;364964;59.271;27.893;1.537;0.38;0.003;4.025;6.857;0.024;0.009
