Ano,Região,Tipo de voto/Candidato,Votos
2026 - 2.ª volta,Redondo,Voto nulo,38
2026 - 2.ª volta,Reguengos de Monsaraz,Voto nulo,63
2026 - 2.ª volta,Vendas Novas,Voto nulo,104
2026 - 2.ª volta,Viana do Alentejo,Voto nulo,45
2026 - 2.ª volta,Vila Viçosa,Voto nulo,40
2026 - 2.ª volta,Albufeira,Voto nulo,284
2026 - 2.ª volta,Alcoutim,Voto nulo,20
2026 - 2.ª volta,Aljezur,Voto nulo,32
2026 - 2.ª volta,Castro Marim,Voto nulo,28
2026 - 2.ª volta,Faro,Voto nulo,515
2026 - 2.ª volta,Lagoa,Voto nulo,171
2026 - 2.ª volta,Lagos,Voto nulo,162
2026 - 2.ª volta,Loulé,Voto nulo,496
2026 - 2.ª volta,Monchique,Voto nulo,48
2026 - 2.ª volta,Olhão,Voto nulo,293
2026 - 2.ª volta,Portimão,Voto nulo,417
2026 - 2.ª volta,São Brás de Alportel,Voto nulo,94
2026 - 2.ª volta,Silves,Voto nulo,282
2026 - 2.ª volta,Tavira,Voto nulo,174
2026 - 2.ª volta,Vila do Bispo,Voto nulo,17
2026 - 2.ª volta,Vila Real de Santo António,Voto nulo,107
2026 - 2.ª volta,Aguiar da Beira,Voto nulo,59
2026 - 2.ª volta,Almeida,Voto nulo,61
2026 - 2.ª volta,Celorico da Beira,Voto nulo,61
2026 - 2.ª volta,Figueira de Castelo Rodrigo,Voto nulo,59
2026 - 2.ª volta,Fornos de Algodres,Voto nulo,41
2026 - 2.ª volta,Gouveia,Voto nulo,86
2026 - 2.ª volta,Guarda,Voto nulo,546
2026 - 2.ª volta,Manteigas,Voto nulo,14
2026 - 2.ª volta,Mêda,Voto nulo,36
2026 - 2.ª volta,Pinhel,Voto nulo,86
2026 - 2.ª volta,Sabugal,Voto nulo,103
2026 - 2.ª volta,Seia,Voto nulo,187
2026 - 2.ª volta,Trancoso,Voto nulo,77
2026 - 2.ª volta,Vila Nova de Foz Côa,Voto nulo,48
2026 - 2.ª volta,Estrangeiro,Voto nulo,540
2026 - 2.ª volta,Vila do Porto,Voto nulo,15
2026 - 2.ª volta,Lagoa [R.A.A.],Voto nulo,71
2026 - 2.ª volta,Nordeste,Voto nulo,34
2026 - 2.ª volta,Ponta Delgada,Voto nulo,400
2026 - 2.ª volta,Povoação,Voto nulo,31
2026 - 2.ª volta,Ribeira Grande,Voto nulo,133
2026 - 2.ª volta,Vila Franca do Campo,Voto nulo,48
2026 - 2.ª volta,Angra do Heroísmo,Voto nulo,228
2026 - 2.ª volta,Vila da Praia da Vitória,Voto nulo,67
2026 - 2.ª volta,Santa Cruz da Graciosa,Voto nulo,17
2026 - 2.ª volta,Calheta [R.A.A.],Voto nulo,15
2026 - 2.ª volta,Velas,Voto nulo,22
2026 - 2.ª volta,Lajes do Pico,Voto nulo,22
2026 - 2.ª volta,Madalena,Voto nulo,20
2026 - 2.ª volta,São Roque do Pico,Voto nulo,12
2026 - 2.ª volta,Horta,Voto nulo,47
2026 - 2.ª volta,Lajes das Flores,Voto nulo,9
2026 - 2.ª volta,Santa Cruz das Flores,Voto nulo,9
2026 - 2.ª volta,Corvo,Voto nulo,0
2026 - 2.ª volta,Calheta [R.A.M.],Voto nulo,151
2026 - 2.ª volta,Câmara de Lobos,Voto nulo,441
2026 - 2.ª volta,Funchal,Voto nulo,1704
